arrival_rate,max_batch_size,kv_budget,n_seeds,mean_ttft_mean,mean_ttft_std,p50_ttft_mean,p50_ttft_std,p95_ttft_mean,p95_ttft_std,p99_ttft_mean,p99_ttft_std,goodput_mean,goodput_std,blocking_probability_mean,blocking_probability_std
4.0,64,284304,1,0.03174722936000459,0.0,0.031188583499897504,0.0,0.03853370350025216,0.0,0.04138960744990981,0.0,3.6644667260870243,0.0,0.0,0.0
5.0,64,284304,1,0.03294416503333802,0.0,0.032831984500035105,0.0,0.03936425050012531,0.0,0.04360609408010532,0.0,4.483570356229579,0.0,0.0,0.0
6.0,64,284304,1,0.0389438495666703,0.0,0.035737831000005826,0.0,0.05937496550020572,0.0,0.09370891854000997,0.0,5.267710634162844,0.0,0.0,0.0
8.0,64,284304,1,0.03703381719667505,0.0,0.03656435650009371,0.0,0.0464843643999302,0.0,0.05349614294960701,0.0,6.735247354021135,0.0,0.0,0.0
0.5,64,449520,1,0.03263467711332851,0.0,0.03003602800004046,0.0,0.061241569299863866,0.0,0.08633125022970943,0.0,0.49448575977797443,0.0,0.0,0.0
1.0,64,449520,1,0.03388364592335468,0.0,0.03146886800050197,0.0,0.05240987724941988,0.0,0.06934376878044525,0.0,0.9779496711543519,0.0,0.0,0.0
2.0,64,449520,1,0.0341602037499797,0.0,0.03260594299990771,0.0,0.04643582535040878,0.0,0.059214830269866056,0.0,1.9133849369768519,0.0,0.0,0.0
3.0,64,449520,1,0.03416296291001042,0.0,0.03240310099999988,0.0,0.04759053759953531,0.0,0.06052861932023003,0.0,2.8085200035169855,0.0,0.0,0.0
4.0,64,449520,1,0.03471683911667848,0.0,0.03359831950001535,0.0,0.04663618819968179,0.0,0.054163468759370496,0.0,3.6636803269561056,0.0,0.0,0.0
5.0,64,449520,1,0.03613096320330745,0.0,0.034713363999799185,0.0,0.047571932350047065,0.0,0.056616197500479734,0.0,4.483179833790297,0.0,0.0,0.0
6.0,64,449520,1,0.03976024781663606,0.0,0.03803982500039638,0.0,0.05778683655003079,0.0,0.07366390543976194,0.0,5.265767387799622,0.0,0.0,0.0
8.0,64,449520,1,0.053245361976629886,0.0,0.04388645400013047,0.0,0.11729051789943701,0.0,0.16896847680978677,0.0,6.73376027853179,0.0,0.0,0.0
0.5,64,614736,1,0.039651384700015724,0.0,0.03262674399957177,0.0,0.08573765394999101,0.0,0.10279958420970614,0.0,0.4944002660000082,0.0,0.0,0.0
1.0,64,614736,1,0.03339149796667395,0.0,0.03072415650012772,0.0,0.05699332789981782,0.0,0.0745355813594414,0.0,0.9779877531781312,0.0,0.0,0.0
2.0,64,614736,1,0.03975994670335846,0.0,0.03221466500008319,0.0,0.07655931460049034,0.0,0.11713386965997404,0.0,1.9132429663752222,0.0,0.0,0.0
3.0,64,614736,1,0.04606287413331605,0.0,0.0367875794995598,0.0,0.09015760305001096,0.0,0.12567915017044445,0.0,2.8054693133512463,0.0,0.0,0.0
4.0,64,614736,1,0.03501009016999888,0.0,0.03375259449967416,0.0,0.04729817314923822,0.0,0.06789898205973258,0.0,3.664523175212113,0.0,0.0,0.0
5.0,64,614736,1,0.0334338092500487,0.0,0.0328922885000793,0.0,0.04124782225003402,0.0,0.04728525820049071,0.0,4.4839876796819516,0.0,0.0,0.0
6.0,64,614736,1,0.03496081423665601,0.0,0.034560279499601165,0.0,0.0437457821501539,0.0,0.05214108083036989,0.0,5.267602083468216,0.0,0.0,0.0
8.0,64,614736,1,0.03700274087668731,0.0,0.03651875200012,0.0,0.04649249625040284,0.0,0.05009749200023179,0.0,6.734157763706516,0.0,0.0,0.0
0.5,128,104336,1,0.036321808070003195,0.0,0.03003742750024685,0.0,0.07183019769931892,0.0,0.09642574031974616,0.0,0.494493470038199,0.0,0.0,0.0
1.0,128,104336,1,0.03337994855998962,0.0,0.030220649499824503,0.0,0.06624935964960059,0.0,0.08689677634932194,0.0,0.9780147404557483,0.0,0.0,0.0
2.0,128,104336,1,0.03716054789999665,0.0,0.032301208000262704,0.0,0.07319948384997588,0.0,0.09390555249019591,0.0,1.9134254531578532,0.0,0.0,0.0
3.0,128,104336,1,0.03551332378666605,0.0,0.03173872300021685,0.0,0.06370458684973539,0.0,0.08865192052977362,0.0,2.808630849696549,0.0,0.0,0.0
